poll_id,pollster,pollscore,sample_size,state,candidate_name,pct,log_sample_size
89198,MassINC Polling Group,-0.8,582,Massachusetts,Kamala Harris,61,6.366470447731438
89198,MassINC Polling Group,-0.8,582,Massachusetts,Donald Trump,31,6.366470447731438
89198,MassINC Polling Group,-0.8,582,Massachusetts,Robert F. Kennedy,2,6.366470447731438
89198,MassINC Polling Group,-0.8,582,Massachusetts,Jill Stein,1,6.366470447731438
89198,MassINC Polling Group,-0.8,582,Massachusetts,Cornel West,0,6.366470447731438
89198,MassINC Polling Group,-0.8,582,Massachusetts,Chase Oliver,0,6.366470447731438
89142,AtlasIntel,-0.8,1373,North Carolina,Kamala Harris,46.7,7.224753405767971
89142,AtlasIntel,-0.8,1373,North Carolina,Donald Trump,50.7,7.224753405767971
89142,AtlasIntel,-0.8,1373,North Carolina,Jill Stein,0.7,7.224753405767971
89142,AtlasIntel,-0.8,1373,North Carolina,Chase Oliver,0.3,7.224753405767971
89142,AtlasIntel,-0.8,1373,North Carolina,Kamala Harris,47,7.224753405767971
89142,AtlasIntel,-0.8,1373,North Carolina,Donald Trump,50.7,7.224753405767971
89143,AtlasIntel,-0.8,1005,Arizona,Kamala Harris,45.9,6.912742820493176
89143,AtlasIntel,-0.8,1005,Arizona,Donald Trump,50.8,6.912742820493176
89143,AtlasIntel,-0.8,1005,Arizona,Jill Stein,1.1,6.912742820493176
89143,AtlasIntel,-0.8,1005,Arizona,Chase Oliver,0.5,6.912742820493176
89143,AtlasIntel,-0.8,1005,Arizona,Kamala Harris,46.8,6.912742820493176
89143,AtlasIntel,-0.8,1005,Arizona,Donald Trump,51,6.912742820493176
89144,AtlasIntel,-0.8,1212,Georgia,Kamala Harris,47.2,7.10002716662926
89144,AtlasIntel,-0.8,1212,Georgia,Donald Trump,48.8,7.10002716662926
89144,AtlasIntel,-0.8,1212,Georgia,Jill Stein,2,7.10002716662926
89144,AtlasIntel,-0.8,1212,Georgia,Chase Oliver,0.5,7.10002716662926
89144,AtlasIntel,-0.8,1212,Georgia,Kamala Harris,47.8,7.10002716662926
89144,AtlasIntel,-0.8,1212,Georgia,Donald Trump,50.1,7.10002716662926
89145,AtlasIntel,-0.8,1136,Michigan,Kamala Harris,48.3,7.035268599281097
89145,AtlasIntel,-0.8,1136,Michigan,Donald Trump,49.2,7.035268599281097
89145,AtlasIntel,-0.8,1136,Michigan,Jill Stein,1.7,7.035268599281097
89145,AtlasIntel,-0.8,1136,Michigan,Chase Oliver,0.1,7.035268599281097
89145,AtlasIntel,-0.8,1136,Michigan,Kamala Harris,48.7,7.035268599281097
89145,AtlasIntel,-0.8,1136,Michigan,Donald Trump,49.3,7.035268599281097
89146,AtlasIntel,-0.8,845,Nevada,Kamala Harris,46.9,6.739336627357174
89146,AtlasIntel,-0.8,845,Nevada,Donald Trump,50.5,6.739336627357174
89146,AtlasIntel,-0.8,845,Nevada,Kamala Harris,47,6.739336627357174
89146,AtlasIntel,-0.8,845,Nevada,Donald Trump,50.6,6.739336627357174
89147,AtlasIntel,-0.8,1738,Pennsylvania,Kamala Harris,47.4,7.460490305825338
89147,AtlasIntel,-0.8,1738,Pennsylvania,Donald Trump,48.5,7.460490305825338
89147,AtlasIntel,-0.8,1738,Pennsylvania,Jill Stein,1,7.460490305825338
89147,AtlasIntel,-0.8,1738,Pennsylvania,Chase Oliver,0.5,7.460490305825338
89147,AtlasIntel,-0.8,1738,Pennsylvania,Kamala Harris,47.9,7.460490305825338
89147,AtlasIntel,-0.8,1738,Pennsylvania,Donald Trump,49.4,7.460490305825338
89148,AtlasIntel,-0.8,673,Wisconsin,Kamala Harris,48.2,6.511745329644728
89148,AtlasIntel,-0.8,673,Wisconsin,Donald Trump,48.5,6.511745329644728
89148,AtlasIntel,-0.8,673,Wisconsin,Jill Stein,0.8,6.511745329644728
89148,AtlasIntel,-0.8,673,Wisconsin,Chase Oliver,0.1,6.511745329644728
